cz,czname,pop2000,fips,statename,stateabbrv,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
25900,Jonesboro,198671,5,Arkansas,AR,80.586174,81.071648,84.080276,84.463699,86.196861,86.472305,89.147049,89.350975,74.035011,74.5662,78.459084,78.931236,80.88652,81.293846,82.903679,83.286354,.38524076,.37783614,.42610705,.40869534,.57673675,.55404264,.6822598,.64740562,.30150753,.31107208,.39218494,.39386773,.56073123,.55318904,.77762818,.75740641,156204,139250,103792,55094,144766,139343,98746,50817
26002,Duluth,286544,27,Minnesota,MN,81.640282,82.055153,84.485573,84.860962,86.239937,86.611359,88.525276,88.73613,75.824997,76.302353,81.673401,82.058441,83.731453,84.115128,84.447502,84.784554,.3924537,.38454327,.40103108,.39100161,.4702034,.4493528,.57119155,.54662645,.31322119,.31538123,.34145376,.33999592,.39505482,.38267121,.58111453,.5656485,163729,197437,231253,139176,158854,210674,233824,126255
26101,Moberly,56535,29,Missouri,MO,81.163818,81.692047,84.670029,85.0616,87.657738,87.937111,85.926964,86.072182,77.175323,77.743027,80.368515,80.800316,82.679146,83.098274,84.81105,85.070847,.71460569,.68839669,.88475525,.84622091,.91483986,.86607283,1.7838751,1.7345444,.6036914,.59238201,.71819538,.70417231,.98301959,.95583564,1.4935598,1.4443085,42521,44745,37174,14521,40981,47230,35244,12634
26102,Marshall,48599,29,Missouri,MO,80.617867,81.061348,83.53038,83.956596,84.152885,84.630867,87.473595,87.785919,74.921745,75.36924,79.545586,80.004501,84.435776,84.79393,86.476021,86.765198,.7947349,.76154095,1.0099087,.96699136,1.2611337,1.2132457,1.9023466,1.8068231,.65078765,.65356427,.81574702,.80013281,.98795193,.94979393,1.5584556,1.4887443,32303,34755,29252,12766,31124,37265,27490,11167
26106,Centerville,29873,19,Iowa,IA,82.834808,83.216957,83.645523,84.044304,87.142044,87.489548,91.160248,91.276405,76.457817,76.918701,80.009041,80.413879,85.007874,85.345505,82.607491,83.059456,1.0472852,1.0025506,1.1999019,1.1501877,1.5337851,1.4495356,1.5728483,1.4866511,.78724366,.77607745,.97420418,.9482553,1.3581523,1.2999592,2.509346,2.4696057,20484,23066,18755,6722,20646,24329,17581,5428
26107,Kirksville,38491,29,Missouri,MO,80.557281,81.034584,85.52507,85.849281,84.246803,84.635574,86.607849,86.928757,77.193497,77.637596,81.331573,81.719139,82.606415,82.969177,83.156738,83.504402,.87613869,.84721315,1.2558537,1.1937302,1.5734072,1.5160326,2.1067376,2.0226388,.7839492,.76712179,.96633589,.93760806,1.3830779,1.3431293,2.0251358,1.9828507,25379,24583,18197,9379,25218,24411,16703,8151
26201,Bismarck,114739,38,North Dakota,ND,84.810883,85.082939,85.308914,85.647552,86.212944,86.575775,88.020149,88.331879,76.97448,77.383049,81.81884,82.179993,84.373077,84.741859,86.574043,86.878815,.60666555,.57757014,.7236858,.69233853,.75125378,.7193799,.92671329,.87315685,.53217363,.52292091,.56908047,.54794806,.63488925,.61497712,.84743828,.80784208,58572,77380,106669,76837,52788,77150,113502,72087
26304,Minot,74541,38,North Dakota,ND,80.803673,81.170906,85.121788,85.529312,85.210297,85.642517,87.803185,87.948875,76.54866,76.921883,81.842422,82.256737,85.699432,86.044327,86.257294,86.519096,.75479013,.73343402,.9390716,.89885372,1.0102243,.96464586,1.3387632,1.2885628,.61600447,.60924065,.75690675,.73405933,.85632932,.81687689,1.1732869,1.1270615,38330,45559,52841,31518,35784,51756,54370,29537
26410,Dickinson,27124,38,North Dakota,ND,83.81369,84.199936,88.407532,88.569435,85.134453,85.52446,92.28537,92.341934,78.902214,79.321907,83.917496,84.225327,86.051689,86.313553,82.55645,83.005043,1.3360144,1.2753592,1.0822476,1.0325087,1.8216037,1.7515409,1.0129451,.9590168,1.1332411,1.1037658,1.1985294,1.1545088,1.3268952,1.2718387,2.1538506,2.117636,14985,18136,20490,13088,14124,20273,21656,12570
26501,Brookings,40630,46,South Dakota,SD,80.328697,80.780151,83.134087,83.609924,87.024544,87.312065,89.897606,90.085907,75.795891,76.249535,82.366142,82.740669,81.908348,82.298431,84.68718,85.073647,1.2772877,1.23489,1.3448701,1.297103,1.3582673,1.2958972,1.371599,1.2983378,.91350073,.91219896,.99570227,.95842832,1.1786925,1.1521356,1.823096,1.7656507,15551,22871,29397,17009,16458,26412,28705,15161
